sl_no,career,stream_after_12th,required_skills,preferred_interests,education_level_min,time_years_avg,cost_inr_avg,difficulty_level,risk_level,popularity_in_india,career_description,experiment_tasks_sample
1,Software Engineer,Science (PCM),python;c++;problem solving;web dev;git,technology;innovation;gadgets,Bachelor's,4,600000,medium,low,high,Build and maintain software applications and systems.,Watch Python tutorial;Code a simple calculator;Read about software lifecycle;Join a GitHub repo;Debug a sample code
2,AI/ML Engineer,Science (PCM),python;machine learning;tensorflow;statistics;data modeling,AI;data patterns;automation,Master's preferred,5,800000,high,medium,very high,Develop AI models for predictions and automation.,Train a basic ML model on Kaggle;Read about neural networks;Build a chatbot prototype;Analyze AI ethics article;Present model results
3,Data Scientist,Science (PCM),python;sql;statistics;machine learning;pandas,data analysis;research;insights,Master's preferred,5,750000,high,medium,high,Analyze large data to drive business decisions.,Clean a CSV dataset;Build a predictive model;Visualize data with Matplotlib;Read data privacy laws;Write a short report on findings
4,Cybersecurity Specialist,Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats,security;problem solving;protecting systems,Bachelor's + certifications,4,700000,high,medium,very high,Protect systems from cyber attacks and threats.,Learn basic networking;Try ethical hacking lab (TryHackMe);Read about ransomware;Simulate phishing detection;Write security policy draft
5,Doctor,Science (PCB),biology;chemistry;medicine;anatomy;empathy,helping people;biology;science,MBBS + PG,5.5-10,2000000,very high,high,high,Diagnose and treat patients in hospitals or clinics.,Watch anatomy video;Learn basic first aid;Read patient case study;Shadow doctor simulation video;Practice medical terminology quiz
6,Chartered Accountant,Commerce,accounting;taxation;auditing;finance;excel,business;numbers;compliance,Professional (CA),4-5,400000,high,medium,high,Handle financial reporting, auditing and taxation.,Solve basic accounting problems;Read about GST rules;Mock audit case study;Calculate tax for sample income;Prepare balance sheet template
7,Digital Marketing Specialist,Any,seo;social media;content creation;google ads;analytics,marketing;trends;creativity,Bachelor's,3,350000,low,low,very high,Plan and execute digital marketing campaigns for brands.,Create social media content;Run Google Ads campaign;Analyze campaign performance;Write SEO blog;Study viral trends
8,Digital Marketing Manager,Any,seo;social media;content strategy;google ads;analytics;team management,marketing;strategy;leadership,Bachelor's + experience,5,700000,medium,low,very high,Lead digital marketing teams and campaigns.,Create marketing strategy;Lead team;Analyze ROI;Present results;Mentor juniors
9,UX/UI Designer,Any,figma;adobe xd;user research;prototyping;creativity,design;user experience;visuals,Bachelor's or Diploma,3,300000,medium,low,high,Design user-friendly interfaces for apps and websites.,Design app wireframe in Figma;Conduct user feedback;Redesign bad UI;Learn color psychology;Build portfolio
10,Fashion Designer,Arts / Any,fashion sketching;garment construction;trend forecasting;textile knowledge;creativity,fashion;creativity;style;trends,Diploma / Bachelor's in Fashion Design,3,400000,medium,low,high,Design clothing and accessories for brands or own label.,Sketch fashion designs;Create mood board;Learn fabric types;Sew basic garment;Study fashion trends
11,Fashion Designer (Senior),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management,fashion;creativity;branding,Bachelor's + experience,6,800000,medium,low,high,Lead fashion design teams and brand collections.,Design collection;Lead team;Work with manufacturers;Present to buyers;Study international trends
12,Government Job - IAS Officer,Any (UPSC),general studies;current affairs;essay writing;leadership,public service;administration;leadership,Bachelor's + UPSC,6-8,500000,very high,low,very high,Serve as civil servant in top administrative roles.,Read NCERT books;Practice essay writing;Take mock UPSC tests;Read newspaper daily;Join coaching classes
13,Government Job - IPS Officer,Any (UPSC),physical fitness;law;current affairs;leadership,public safety;law enforcement;leadership,Bachelor's + UPSC,6-8,500000,very high,low,very high,Serve as police officer in senior roles.,Prepare for UPSC;Practice physical tests;Read law books;Take mock interviews;Join coaching
14,Bank PO (Government Job),Commerce / Any,quantitative aptitude;reasoning;english;general awareness,banking;stability;public service,Bachelor's + IBPS,1-2 (training),300000,medium,low,very high,Work in public sector bank as Probationary Officer.,Practice quant;Read banking awareness;Take mock tests;Prepare interview;Join coaching
15,SSC CGL Officer (Government Job),Any,general intelligence;english;quant;general awareness,government service;stability,Bachelor's + SSC CGL,1-2 (training),300000,medium,low,very high,Work in various government departments.,Practice reasoning;Read current affairs;Take mock tests;Prepare for interview;Join coaching
16,Railway Officer (Government Job),Any,technical knowledge;general awareness;reasoning,railways;stability;public service,Bachelor's + RRB,2-3,400000,medium,low,very high,Work in Indian Railways in officer roles.,Study railway technical;Practice general awareness;Take mock tests;Prepare interview;Join coaching
17,Defence Officer (NDA),Any (PCM for technical),physical fitness;maths;general ability,defence;discipline;patriotism,12th + NDA,4-5 (training),200000,high,low,very high,Serve as officer in Indian Army/Navy/Air Force.,Prepare for NDA exam;Practice physical fitness;Read defence news;Take mock tests;Join coaching
18,Content Creator / Influencer,Any,video editing;storytelling;social media;seo,creativity;trends;communication,Bachelor's or self-taught,2-4,150000,low,medium,very high,Create content for YouTube/Instagram and monetize.,Shoot short video;Edit with CapCut;Optimize for SEO;Analyze engagement;Plan content calendar
19,Renewable Energy Engineer,Science (PCM),solar/wind tech;electrical engineering;project management;cad,green energy;sustainability;innovation,Bachelor's,4-5,700000,high,medium,high,Design and implement renewable energy systems.,Read about solar panels;Calculate energy output;Watch wind turbine video;Design basic solar setup;Research subsidies
20,Software Engineer (Senior),Science (PCM),python;c++;problem solving;web dev;git;teamwork,technology;innovation;gadgets;leadership,Bachelor's + experience,6,900000,medium,low,high,Lead software development teams and architect systems.,Review code quality;Lead sprint planning;Mentor junior developers;Conduct system design review;Optimize legacy code
21,AI/ML Engineer (Junior),Science (PCM),python;machine learning;tensorflow;statistics;data modeling,AI;data patterns;automation,Bachelor's,3,500000,high,medium,very high,Assist in building and training ML models.,Assist in data cleaning;Run basic experiments;Learn model deployment;Document experiments;Participate in team meetings
22,Data Scientist Analyst,Science (PCM),python;sql;statistics;machine learning;pandas,data analysis;research;insights,Bachelor's,4,650000,high,medium,high,Perform data analysis and reporting for business decisions.,Create dashboards;Write SQL queries;Perform exploratory analysis;Prepare reports;Present findings
23,Cybersecurity Analyst,Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats,security;problem solving;protecting systems,Bachelor's + certifications,4,650000,high,medium,very high,Monitor and protect systems from cyber threats.,Monitor security logs;Perform vulnerability scans;Respond to incidents;Write security reports;Update firewall rules
24,General Physician,Science (PCB),biology;chemistry;medicine;anatomy;empathy,helping people;biology;science,MBBS,5.5,1800000,very high,high,high,Provide primary medical care and diagnosis.,Take patient history;Perform physical exams;Prescribe medications;Order tests;Follow up with patients
